State,District,Date,Level (m)
Tamil Nadu,Kanniyakumari,1/1/2023,1.61
Tamil Nadu,Kanniyakumari,1/2/2023,1.61
Tamil Nadu,Kanniyakumari,1/3/2023,1.62
Tamil Nadu,Kanniyakumari,1/4/2023,1.63
Tamil Nadu,Kanniyakumari,1/5/2023,1.63
Tamil Nadu,Kanniyakumari,1/6/2023,1.63
Tamil Nadu,Kanniyakumari,1/7/2023,1.63
Tamil Nadu,Kanniyakumari,1/8/2023,1.63
Tamil Nadu,Kanniyakumari,1/9/2023,1.63
Tamil Nadu,Kanniyakumari,1/10/2023,1.63
Tamil Nadu,Kanniyakumari,1/11/2023,1.64
Tamil Nadu,Kanniyakumari,1/12/2023,1.61
Tamil Nadu,Kanniyakumari,1/13/2023,1.65
Tamil Nadu,Kanniyakumari,1/14/2023,1.67
Tamil Nadu,Kanniyakumari,1/15/2023,1.56
Tamil Nadu,Kanniyakumari,1/16/2023,1.5
Tamil Nadu,Kanniyakumari,1/17/2023,1.5
Tamil Nadu,Kanniyakumari,1/18/2023,1.5
Tamil Nadu,Kanniyakumari,1/19/2023,1.5
Tamil Nadu,Kanniyakumari,1/20/2023,1.5
Tamil Nadu,Kanniyakumari,1/21/2023,1.5
Tamil Nadu,Kanniyakumari,1/22/2023,1.5
Tamil Nadu,Kanniyakumari,1/23/2023,1.5
Tamil Nadu,Kanniyakumari,1/24/2023,1.5
Tamil Nadu,Kanniyakumari,1/25/2023,1.5
Tamil Nadu,Kanniyakumari,1/26/2023,1.5
Tamil Nadu,Kanniyakumari,1/27/2023,1.5
Tamil Nadu,Kanniyakumari,1/28/2023,1.5
Tamil Nadu,Kanniyakumari,1/29/2023,1.5
Tamil Nadu,Kanniyakumari,1/30/2023,1.51
Tamil Nadu,Kanniyakumari,1/31/2023,1.5
Tamil Nadu,Kanniyakumari,2/1/2023,1.51
Tamil Nadu,Kanniyakumari,2/2/2023,1.51
Tamil Nadu,Kanniyakumari,2/3/2023,1.51
Tamil Nadu,Kanniyakumari,2/4/2023,1.51
Tamil Nadu,Kanniyakumari,2/5/2023,1.51
Tamil Nadu,Kanniyakumari,2/6/2023,1.51
Tamil Nadu,Kanniyakumari,2/7/2023,1.51
Tamil Nadu,Kanniyakumari,2/8/2023,1.51
Tamil Nadu,Kanniyakumari,2/9/2023,1.51
Tamil Nadu,Kanniyakumari,2/10/2023,1.51
Tamil Nadu,Kanniyakumari,2/11/2023,1.51
Tamil Nadu,Kanniyakumari,2/12/2023,1.51
Tamil Nadu,Kanniyakumari,2/13/2023,1.51
Tamil Nadu,Kanniyakumari,2/14/2023,1.51
Tamil Nadu,Kanniyakumari,2/15/2023,1.51
Tamil Nadu,Kanniyakumari,2/16/2023,1.51
Tamil Nadu,Kanniyakumari,2/17/2023,1.51
Tamil Nadu,Kanniyakumari,2/18/2023,1.51
Tamil Nadu,Kanniyakumari,2/19/2023,1.51
Tamil Nadu,Kanniyakumari,2/20/2023,1.51
Tamil Nadu,Kanniyakumari,2/21/2023,1.51
Tamil Nadu,Kanniyakumari,2/22/2023,1.51
Tamil Nadu,Kanniyakumari,2/23/2023,1.51
Tamil Nadu,Kanniyakumari,2/24/2023,1.51
Tamil Nadu,Kanniyakumari,2/25/2023,1.51
Tamil Nadu,Kanniyakumari,2/26/2023,1.51
Tamil Nadu,Kanniyakumari,2/27/2023,1.51
Tamil Nadu,Kanniyakumari,2/28/2023,1.51
Tamil Nadu,Kanniyakumari,3/1/2023,1.51
Tamil Nadu,Kanniyakumari,3/2/2023,1.51
Tamil Nadu,Kanniyakumari,3/3/2023,1.51
Tamil Nadu,Kanniyakumari,3/4/2023,1.51
Tamil Nadu,Kanniyakumari,3/5/2023,1.51
Tamil Nadu,Kanniyakumari,3/6/2023,1.51
Tamil Nadu,Kanniyakumari,3/7/2023,1.51
Tamil Nadu,Kanniyakumari,3/8/2023,1.51
Tamil Nadu,Kanniyakumari,3/9/2023,1.51
Tamil Nadu,Kanniyakumari,3/10/2023,1.51
Tamil Nadu,Kanniyakumari,3/11/2023,1.51
Tamil Nadu,Kanniyakumari,3/12/2023,1.51
Tamil Nadu,Kanniyakumari,3/13/2023,1.51
Tamil Nadu,Kanniyakumari,3/14/2023,1.51
Tamil Nadu,Kanniyakumari,3/15/2023,1.51
Tamil Nadu,Kanniyakumari,3/16/2023,1.5
Tamil Nadu,Kanniyakumari,3/17/2023,1.51
Tamil Nadu,Kanniyakumari,3/18/2023,1.51
Tamil Nadu,Kanniyakumari,3/19/2023,1.51
Tamil Nadu,Kanniyakumari,3/20/2023,1.51
Tamil Nadu,Kanniyakumari,3/21/2023,1.51
Tamil Nadu,Chnennai,3/22/2023,1.51
Tamil Nadu,Chnennai,3/23/2023,1.51
Tamil Nadu,Chnennai,3/24/2023,1.51
Tamil Nadu,Chnennai,3/25/2023,1.51
Tamil Nadu,Chnennai,3/26/2023,1.51
Tamil Nadu,Chnennai,3/27/2023,1.51
